date,name,value
2011-05-25,DTE,51.12
2011-05-24,DTE,51.51
2011-05-23,DTE,51.47
2011-05-20,DTE,51.9
2011-05-19,DTE,51.91
2011-05-18,DTE,51.68
2011-05-17,DTE,52.12
2011-05-16,DTE,52.05
2011-05-13,DTE,52.54
2011-05-12,DTE,52.45
2011-05-11,DTE,51.94
2011-05-10,DTE,51.99
2011-05-09,DTE,51.19
2011-05-06,DTE,51.16
2011-05-05,DTE,50.84
2011-05-04,DTE,51.47
2011-05-03,DTE,51.46
2011-05-02,DTE,51.09
2011-04-29,DTE,50.53
2011-04-28,DTE,49.96
2011-04-27,DTE,49.62
2011-04-26,DTE,48.87
2011-04-25,DTE,49.41
2011-04-21,DTE,49.47
2011-04-20,DTE,49.4
2011-04-19,DTE,48.7
2011-04-18,DTE,48.8
2011-04-15,DTE,49.34
2011-04-14,DTE,48.37
2011-04-13,DTE,48.48
2011-04-12,DTE,48.35
2011-04-11,DTE,48.73
2011-04-08,DTE,49.21
2011-04-07,DTE,49.5
2011-04-06,DTE,49.64
2011-04-05,DTE,49.49
2011-04-04,DTE,49.37
2011-04-01,DTE,49.36
2011-03-31,DTE,48.96
2011-03-30,DTE,48.99
2011-03-29,DTE,48.1
2011-03-28,DTE,47.51
2011-03-25,DTE,47.78
2011-03-24,DTE,47.69
2011-03-23,DTE,47.47
2011-03-22,DTE,47.52
2011-03-21,DTE,47.7
